Característica,KL_Divergence,Significativo_2bits,Significativo_1bit
Flow_Duration,0.02695495812335909,False,False
Total_Fwd_Packets,0.05244197668164872,False,False
Flow_Bytes_s,0.01814245218740946,False,False
Flow_Packets_s,0.10226413410490545,False,False
Fwd_Packet_Length_Mean,0.0710746258743513,False,False
Bwd_Packet_Length_Mean,0.17538618372534964,False,False
Flow_IAT_Mean,0.01656039622575837,False,False
Fwd_IAT_Total,0.005220761894392402,False,False
Bwd_IAT_Total,0.14611431087163795,False,False
Packet_Length_Variance,0.06676035574363683,False,False
Flow_IAT_Std,0.028270209742463474,False,False
Active_Mean,0.06526013693865779,False,False
Active_Std,0.02091762369707937,False,False
Idle_Mean,0.2648381023380914,False,False
Idle_Std,0.07668564351030982,False,False
TCP_Flag_Count,0.04152985901704778,False,False
Protocol_Type,0.06103157065170635,False,False
Service_Type,0.05753793267361083,False,False
Flag_Type,0.022089557464881573,False,False
Source_Bytes,0.1008666637858309,False,False
Destination_Bytes,0.027909352504288578,False,False
Count,0.04925699794763734,False,False
Same_Service_Rate,0.07361700094874958,False,False
